BusStopCode,Description,Latitude,Longitude,RoadName
75371,Aft Tampines Ave 5,1.35909826524265,103.93052373888251,Tampines Ave 10
75379,Bef Tampines Ave 5,1.35943002306953,103.9309897702735,Tampines Ave 10
76031,TAMPINES EAST STN EXIT B,1.35507956918888,103.95529781026745,Tampines Ave 2
76039,TAMPINES EAST STN EXIT C,1.35506418976437,103.9555498102644,Tampines Ave 2
76051,Our Tampines Hub,1.35313809279079,103.9412639409046,Tampines Ave 5
76059,Opp Our Tampines Hub,1.35296163572491,103.94165154852797,Tampines Ave 5
76091,Blk 206,1.35071636446812,103.95275166965992,Tampines Ave 2
76101,Tampines East CC,1.35303315550855,103.95480210652737,Tampines Ave 2
76131,UOB Tampines Ctr,1.35184112001279,103.94254133694142,Tampines Ave 4
76139,Opp Century Sq,1.35162691843499,103.94385009279503,Tampines Ave 4
76141,Tampines Stn/Int,1.35366689109025,103.94609060451609,Tampines Ave 4
76149,Opp Tampines Stn/Int,1.35370728527221,103.94636710560508,Tampines Ave 4
76151,Blk 237,1.355263,103.946998,Tampines St 21
76159,Opp Blk 237,1.35517831738683,103.94720149012322,Tampines St 21
76161,Opp Blk 248,1.35258745876643,103.94758343695361,Tampines St 21
76169,Blk 248,1.3524530559991,103.9474516670289,Tampines St 21
76171,Blk 266,1.35177947844792,103.95042351024047,Tampines St 21
76179,Opp Blk 266,1.35172938925372,103.95069571840816,Tampines St 21
76189,Opp Blk 216,1.3537000000187,103.95279611102576,Tampines St 23
76231,Opp Blk 390,1.35666908955685,103.95736200626966,Tampines Ave 7
76239,Blk 390,1.3564927293972,103.95754826481253,Tampines Ave 7
76241,Blk 497D,1.35845802746258,103.95917058122039,Tampines Ave 7
76249,Blk 370,1.35836639849151,103.95947435534286,Tampines Ave 7
77009,Pasir Ris Int,1.3737224021188,103.95021243108012,Pasir Ris Dr 3
77011,Opp Blk 515,1.37376489998905,103.94266590001561,Pasir Ris Dr 1
77019,Blk 515,1.3737108000359,103.94351079998545,Pasir Ris Dr 1
77021,Opp Blk 571,1.3726630000055,103.94557280001845,Pasir Ris Dr 1
77029,Blk 571,1.37274960000662,103.94597779999948,Pasir Ris Dr 1
77061,Ris Grandeur,1.37377216806532,103.94041320097696,Elias Rd
77069,Opp Ris Grandeur,1.37414972830656,103.94081177255107,Elias Rd
77161,Blk 741,1.37752492323898,103.93657565115056,Pasir Ris Dr 10
77169,Opp Blk 742,1.37694324707892,103.9363320444146,Pasir Ris Dr 10
77281,Blk 740,1.37837166677052,103.93618729229594,Pasir Ris Dr 1
77289,Blk 738,1.37889759950996,103.93596534133927,Pasir Ris Dr 1
77301,Blk 778,1.37419765728407,103.93864478052231,Pasir Ris St 71
77309,Opp Blk 778,1.37437639672106,103.93874482147835,Pasir Ris St 71
77311,Bet Blks 771/772,1.37581953068998,103.936865329717,Pasir Ris St 71
77319,Opp Blks 771/772,1.37554666701554,103.93754166696733,Pasir Ris St 71
77321,Aft Pasir Ris St 53,1.37313477197799,103.94802646457005,Pasir Ris Ctrl
77329,Bef Pasir Ris St 53,1.37283117687855,103.94765867700548,Pasir Ris Ctrl
77331,Blk 747A,1.3782973982979,103.93338764757789,Pasir Ris Dr 12
77339,Aft TPE,1.3780301775267,103.93278653475954,Pasir Ris Dr 12
77371,Aft Pasir Ris Dr 3,1.37460778462857,103.94821000003118,Pasir Ris Dr 8
77379,Bef Pasir Ris Dr 3,1.37468886777036,103.94801300636183,Pasir Ris Dr 8
78049,Blk 612,1.3744627816256,103.94180578126523,Pasir Ris Dr 1
