Postal,Latitude,Longtitude,Blk_no,Road_Name,Building,Address
823617,1.40194562,103.9124567,617C,PUNGGOL DRIVE,PUNGGOL BREEZE,617C PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 823617
823618,1.401686288,103.9118158,618C,PUNGGOL DRIVE,PUNGGOL BREEZE,618C PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 823618
823619,1.402393288,103.9106968,619C,PUNGGOL DRIVE,PUNGGOL BREEZE,619C PUNGGOL DRIVE PUNGGOL BREEZE SINGAPORE 823619
820293,1.403075573,103.9049453,293,PUNGGOL CENTRAL,PUNGGOL GROVE,293 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820293
820294,1.402571817,103.9046355,294,PUNGGOL CENTRAL,PUNGGOL GROVE,294 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820294
820295,1.401886208,103.9049173,295,PUNGGOL CENTRAL,PUNGGOL GROVE,295 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820295
820296,1.401588191,103.9052652,296,PUNGGOL CENTRAL,PUNGGOL GROVE,296 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820296
820297,1.402191213,103.9054519,297,PUNGGOL CENTRAL,PUNGGOL GROVE,297 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820297
820298,1.402617228,103.9056027,298,PUNGGOL CENTRAL,PUNGGOL GROVE,298 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820298
820299,1.402706152,103.9053082,299,PUNGGOL CENTRAL,PUNGGOL GROVE,299 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820299
821603,1.403530127,103.9084634,603A,PUNGGOL ROAD,PUNGGOL LODGE,603A PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 821603
821604,1.404309717,103.9074126,604A,PUNGGOL ROAD,PUNGGOL LODGE,604A PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 821604
822603,1.40314294,103.9083163,603B,PUNGGOL ROAD,PUNGGOL LODGE,603B PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 822603
822604,1.403889296,103.9072069,604B,PUNGGOL ROAD,PUNGGOL LODGE,604B PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 822604
823604,1.403665376,103.9075323,604C,PUNGGOL ROAD,PUNGGOL LODGE,604C PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 823604
820168,1.394237197,103.9130473,168,PUNGGOL FIELD,PUNGGOL PLAZA,168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168
821273,1.402284312,103.9021043,273A,PUNGGOL PLACE,PUNGGOL REGALIA,273A PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 821273
821274,1.402736207,103.9023521,274A,PUNGGOL PLACE,PUNGGOL REGALIA,274A PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 821274
822273,1.401960108,103.9017788,273B,PUNGGOL PLACE,PUNGGOL REGALIA,273B PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 822273
822274,1.403116263,103.9022874,274B,PUNGGOL PLACE,PUNGGOL REGALIA,274B PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 822274
823273,1.402303014,103.9012624,273C,PUNGGOL PLACE,PUNGGOL REGALIA,273C PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 823273
823274,1.403258431,103.9020087,274C,PUNGGOL PLACE,PUNGGOL REGALIA,274C PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 823274
821271,1.403745404,103.9003189,271A,PUNGGOL WALK,PUNGGOL RESIDENCES,271A PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 821271
821272,1.403145259,103.900666,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,272A PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 821272
822271,1.40417055,103.9005811,271B,PUNGGOL WALK,PUNGGOL RESIDENCES,271B PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 822271
822272,1.403295668,103.9002354,272B,PUNGGOL WALK,PUNGGOL RESIDENCES,272B PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 822272
823271,1.403941659,103.9010343,271C,PUNGGOL WALK,PUNGGOL RESIDENCES,271C PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 823271
823272,1.402857065,103.9000672,272C,PUNGGOL WALK,PUNGGOL RESIDENCES,272C PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 823272
821267,1.404559094,103.8975049,267A,PUNGGOL FIELD,PUNGGOL SAPPHIRE,267A PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 821267
821268,1.404111506,103.8973989,268A,PUNGGOL FIELD,PUNGGOL SAPPHIRE,268A PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 821268
821269,1.403149047,103.8989758,269A,PUNGGOL FIELD,PUNGGOL SAPPHIRE,269A PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 821269
821270,1.403979501,103.8994549,270A,PUNGGOL FIELD,PUNGGOL SAPPHIRE,270A PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 821270
822267,1.404432739,103.8979324,267B,PUNGGOL FIELD,PUNGGOL SAPPHIRE,267B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822267
822268,1.403782416,103.8973001,268B,PUNGGOL FIELD,PUNGGOL SAPPHIRE,268B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822268
822269,1.403443932,103.8986665,269B,PUNGGOL FIELD,PUNGGOL SAPPHIRE,269B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822269
822270,1.404108025,103.8990319,270B,PUNGGOL FIELD,PUNGGOL SAPPHIRE,270B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822270
823267,1.404290802,103.8983193,267C,PUNGGOL FIELD,PUNGGOL SAPPHIRE,267C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823267
823268,1.403474149,103.8979384,268C,PUNGGOL FIELD,PUNGGOL SAPPHIRE,268C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823268
823269,1.403652033,103.8985316,269C,PUNGGOL FIELD,PUNGGOL SAPPHIRE,269C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823269
